444b71,1f30c,milky_way,🌌
478db0,1f4bd,minidisc,💽
4899ce,1f535,large_blue_circle,🔵
4a7d8f,1f303,night_with_stars,🌃
4b4b4b,2b1b,black_large_square,⬛
4e90b4,1f309,bridge_at_night,🌉
638a99,26fa,tent,⛺
6396b0,1f5fb,mount_fuji,🗻
6a6960,1f391,rice_scene,🎑
6f91b4,1f1ea-1f1fa,flag_eu,🇪🇺
726e59,1f387,sparkler,🎇
72abca,1f392,school_satchel,🎒
74787b,1f4f7,camera,📷
74dae1,1f192,cool,🆒
75dae1,1f195,new,🆕
767a7d,1f311,new_moon,🌑
77cfbb,1f1f0-1f1ff,flag_kz,🇰🇿
77dbe1,1f196,ng,🆖
78aed0,1f1f2-1f1f5,flag_mp,🇲🇵
78b8b2,1f30f,earth_asia,🌏
78dbe1,1f197,ok,🆗
797c7f,1f5a5,desktop,🖥
79b8b2,1f30e,earth_americas,🌎
79dce2,1f202,sa,🈂
7c8082,1f31a,new_moon_with_face,🌚
7c99b3,1f1e8-1f1fc,flag_cw,🇨🇼
7caed4,1f1eb-1f1f2,flag_fm,🇫🇲
7ec4e7,1f455,shirt,👕
7ed6dc,264f,scorpius,♏
808081,1f3b1,8ball,🎱
80dde3,1f17f,parking,🅿
80dee3,1f201,koko,🈁
839fad,1f1f3-1f1f7,flag_nr,🇳🇷
848886,1f6cd,shopping_bags,🛍
84e0a4,1f22f,u6307,🈯
86caec,1f1f8-1f1f4,flag_so,🇸🇴
88b6d8,2650,sagittarius,♐
88dfe5,1f1ee,regional_indicator_i,🇮
898c8e,1f4fd,projector,📽
89d2e9,1f1f1-1f1e8,flag_lc,🇱🇨
8a8b88,1f4bc,briefcase,💼
8a8d8f,1f6e2,oil,🛢
8a95b4,1f1ec-1f1fa,flag_gu,🇬🇺
8a98bb,1f1f3-1f1ff,flag_nz,🇳🇿
8a99bd,1f1e6-1f1fa,flag_au,🇦🇺
8a9cb6,2651,capricorn,♑
8ab2cc,1f1fd-1f1f0,flag_xk,🇽🇰
8b8b8b,1f533,white_square_button,🔳
8b9bbe,1f1e8-1f1f0,flag_ck,🇨🇰
8bbede,1f537,large_blue_diamond,🔷
8c8c8c,25fc,black_medium_square,◼
8c99b8,1f1e6-1f1e8,flag_ac,🇦🇨
8c9bbd,1f1e6-1f1ee,flag_ai,🇦🇮
8cb3c9,23f2,timer,⏲
8cbe96,26f0,mountain,⛰
8ce1e6,1f1f9,regional_indicator_t,🇹
8d8586,1f983,turkey,🦃
8d9bbb,1f1f2-1f1f8,flag_ms,🇲🇸
8de1e6,1f524,abc,🔤
8e8b8d,1f4ea,mailbox_closed,📪
8ebfdc,1f4b6,euro,💶
8ee1e6,2139,information_source,ℹ
8f9ab6,1f1ec-1f1f8,flag_gs,🇬🇸
8f9cb2,1f1f5-1f1f3,flag_pn,🇵🇳
8fa98e,1f1e8-1f1fd,flag_cx,🇨🇽
8fe1e6,1f522,1234,🔢
908b8e,1f4eb,mailbox,📫
909ebd,1f1eb-1f1f0,flag_fk,🇫🇰
909fc0,1f1f9-1f1eb,flag_tf,🇹🇫
919982,1f687,metro,🚇
919db7,1f1f0-1f1fe,flag_ky,🇰🇾
919eaf,1f1fb-1f1ec,flag_vg,🇻🇬
919eba,1f1f9-1f1e6,flag_ta,🇹🇦
91ab9d,1f3e7,atm,🏧
91e2e7,1f6b9,mens,🚹
928a8d,1f3a9,tophat,🎩
928f83,1f482,guardsman,💂
929eb6,1f1f8-1f1ed,flag_sh,🇸🇭
92e2e7,25b6,arrow_forward,▶
93948d,1f4f8,camera_with_flash,📸
939698,1f4bb,computer,💻
939ea3,1f55b,clock12,🕛
93c8da,1f45b,purse,👛
93cad5,1f1e6-1f1fc,flag_aw,🇦🇼
93d7ea,1f42c,dolphin,🐬
93e2e7,1f1f8,regional_indicator_s,🇸
949797,1f98d,gorilla,🦍
949799,1f3a5,movie_camera,🎥
949985,1f1ec-1f1f5,flag_gp,🇬🇵
949fa4,1f561,clock630,🕡
949fa5,1f555,clock6,🕕
94e3e7,267f,wheelchair,♿
94e3e8,1f1f7,regional_indicator_r,🇷
959194,1f4ed,mailbox_with_no_mail,📭
95948c,1f318,waning_crescent_moon,🌘
959595,1f532,black_square_button,🔲
95989a,2699,gear,⚙
959fa5,1f567,clock1230,🕧
95a0a5,1f550,clock1,🕐
95e3e8,1f4f6,signal_strength,📶
95e5b1,1f4b9,chart,💹
969a9c,2660,spades,♠
96baaf,1f1e7-1f1f8,flag_bs,🇧🇸
96e3e8,1f502,repeat_one,🔂
979083,1f1f1-1f1fe,flag_ly,🇱🇾
979b9d,2663,clubs,♣
979c9c,1f5bc,frame_photo,🖼
97a6a1,1f1f9-1f1f0,flag_tk,🇹🇰
97e3e8,1f6ae,put_litter_in_its_place,🚮
97e4e8,1f523,symbols,🔣
98e4e8,1f6be,wc,🚾
99a7a9,1f3e2,office,🏢
99ac90,1f1f9-1f1ff,flag_tz,🇹🇿
99bce5,1f1e6-1f1f6,flag_aq,🇦🇶
99cae3,1f4ba,seat,💺
99e4e9,24c2,m,Ⓜ
9a9d9f,1f5a4,black_heart,🖤
9ac5d4,1f6cb,couch,🛋
9ae4e9,2195,arrow_up_down,↕
9b9c9b,1f4f1,iphone,📱
9ba09f,1f431,cat,🐱
9bc5da,1f4d3,notebook,📓
9be4e9,21aa,arrow_right_hook,↪
9c91ac,1f4fa,tv,📺
9ca3a6,1f68d,oncoming_bus,🚍
9ca6c1,1f1e8-1f1fb,flag_cv,🇨🇻
