1f600,grinning,😀
1f62c,grimacing,😬
1f601,grin,😁
1f602,joy,😂
1f603,smiley,😃
1f604,smile,😄
1f605,sweat_smile,😅
1f606,laughing,😆
1f607,innocent,😇
1f609,wink,😉
1f60a,blush,😊
1f642,slight_smile,🙂
1f643,upside_down,🙃
263a,relaxed,☺
1f60b,yum,😋
1f60c,relieved,😌
1f60d,heart_eyes,😍
1f618,kissing_heart,😘
1f617,kissing,😗
1f619,kissing_smiling_eyes,😙
1f61a,kissing_closed_eyes,😚
1f61c,stuck_out_tongue_winking_eye,😜
1f61d,stuck_out_tongue_closed_eyes,😝
1f61b,stuck_out_tongue,😛
1f911,money_mouth,🤑
1f913,nerd,🤓
1f60e,sunglasses,😎
1f917,hugging,🤗
1f60f,smirk,😏
1f636,no_mouth,😶
1f610,neutral_face,😐
1f611,expressionless,😑
1f612,unamused,😒
1f644,rolling_eyes,🙄
1f914,thinking,🤔
1f633,flushed,😳
1f61e,disappointed,😞
1f61f,worried,😟
1f620,angry,😠
1f621,rage,😡
1f614,pensive,😔
1f615,confused,😕
1f641,slight_frown,🙁
2639,frowning2,☹
1f623,persevere,😣
1f616,confounded,😖
1f62b,tired_face,😫
1f629,weary,😩
1f624,triumph,😤
1f62e,open_mouth,😮
1f631,scream,😱
1f628,fearful,😨
1f630,cold_sweat,😰
1f62f,hushed,😯
1f626,frowning,😦
1f627,anguished,😧
1f622,cry,😢
1f625,disappointed_relieved,😥
1f62a,sleepy,😪
1f613,sweat,😓
1f62d,sob,😭
1f635,dizzy_face,😵
1f632,astonished,😲
1f910,zipper_mouth,🤐
1f637,mask,😷
1f912,thermometer_face,🤒
1f915,head_bandage,🤕
1f634,sleeping,😴
1f4a4,zzz,💤
1f4a9,poop,💩
1f608,smiling_imp,😈
1f47f,imp,👿
1f479,japanese_ogre,👹
1f47a,japanese_goblin,👺
1f480,skull,💀
1f47b,ghost,👻
1f47d,alien,👽
1f916,robot,🤖
1f63a,smiley_cat,😺
1f638,smile_cat,😸
1f639,joy_cat,😹
1f63b,heart_eyes_cat,😻
1f63c,smirk_cat,😼
1f63d,kissing_cat,😽
1f640,scream_cat,🙀
1f63f,crying_cat_face,😿
1f63e,pouting_cat,😾
1f64c,raised_hands,🙌
1f44f,clap,👏
1f44b,wave,👋
1f44d,thumbsup,👍
1f44e,thumbsdown,👎
1f44a,punch,👊
270a,fist,✊
270c,v,✌
1f44c,ok_hand,👌
270b,raised_hand,✋
1f450,open_hands,👐
1f4aa,muscle,💪
1f64f,pray,🙏
261d,point_up,☝
1f446,point_up_2,👆
1f447,point_down,👇
1f448,point_left,👈
1f449,point_right,👉
1f595,middle_finger,🖕
1f590,hand_splayed,🖐
1f918,metal,🤘
1f596,vulcan,🖖
270d,writing_hand,✍
1f485,nail_care,💅
1f444,lips,👄
1f445,tongue,👅
1f442,ear,👂
1f443,nose,👃
1f441,eye,👁
1f440,eyes,👀
1f464,bust_in_silhouette,👤
1f465,busts_in_silhouette,👥
1f5e3,speaking_head,🗣
1f476,baby,👶
1f466,boy,👦
1f467,girl,👧
1f468,man,👨
1f469,woman,👩
1f471,person_with_blond_hair,👱
1f474,older_man,👴
1f475,older_woman,👵
1f472,man_with_gua_pi_mao,👲
1f473,man_with_turban,👳
1f46e,cop,👮
1f477,construction_worker,👷
1f482,guardsman,💂
1f575,spy,🕵
1f385,santa,🎅
1f47c,angel,👼
1f478,princess,👸
1f470,bride_with_veil,👰
1f6b6,walking,🚶
1f3c3,runner,🏃
1f483,dancer,💃
1f46f,dancers,👯
1f46b,couple,👫
1f46c,two_men_holding_hands,👬
1f46d,two_women_holding_hands,👭
1f647,bow,🙇
1f481,information_desk_person,💁
1f645,no_good,🙅
1f646,ok_woman,🙆
1f64b,raising_hand,🙋
1f64e,person_with_pouting_face,🙎
1f64d,person_frowning,🙍
1f487,haircut,💇
1f486,massage,💆
1f491,couple_with_heart,💑
1f469-2764-1f469,couple_ww,👩❤👩
1f468-2764-1f468,couple_mm,👨❤👨
1f48f,couplekiss,💏
1f469-2764-1f48b-1f469,kiss_ww,👩❤💋👩
1f468-2764-1f48b-1f468,kiss_mm,👨❤💋👨
1f46a,family,👪
1f468-1f469-1f467,family_mwg,👨👩👧
1f468-1f469-1f467-1f466,family_mwgb,👨👩👧👦
1f468-1f469-1f466-1f466,family_mwbb,👨👩👦👦
1f468-1f469-1f467-1f467,family_mwgg,👨👩👧👧
1f469-1f469-1f466,family_wwb,👩👩👦
1f469-1f469-1f467,family_wwg,👩👩👧
1f469-1f469-1f467-1f466,family_wwgb,👩👩👧👦
1f469-1f469-1f466-1f466,family_wwbb,👩👩👦👦
1f469-1f469-1f467-1f467,family_wwgg,👩👩👧👧
1f468-1f468-1f466,family_mmb,👨👨👦
1f468-1f468-1f467,family_mmg,👨👨👧
1f468-1f468-1f467-1f466,family_mmgb,👨👨👧👦
1f468-1f468-1f466-1f466,family_mmbb,👨👨👦👦
1f468-1f468-1f467-1f467,family_mmgg,👨👨👧👧
1f45a,womans_clothes,👚
1f455,shirt,👕
1f456,jeans,👖
1f454,necktie,👔
1f457,dress,👗
1f459,bikini,👙
1f458,kimono,👘
1f484,lipstick,💄
1f48b,kiss,💋
1f463,footprints,👣
1f460,high_heel,👠
1f461,sandal,👡
1f462,boot,👢
1f45e,mans_shoe,👞
1f45f,athletic_shoe,👟
1f452,womans_hat,👒
1f3a9,tophat,🎩
26d1,helmet_with_cross,⛑
1f393,mortar_board,🎓
1f451,crown,👑
1f392,school_satchel,🎒
1f45d,pouch,👝
1f45b,purse,👛
1f45c,handbag,👜
1f4bc,briefcase,💼
1f453,eyeglasses,👓
1f576,dark_sunglasses,🕶
1f48d,ring,💍
1f302,closed_umbrella,🌂
1f920,cowboy,🤠
1f921,clown,🤡
1f922,nauseated_face,🤢
1f923,rofl,🤣
1f924,drooling_face,🤤
1f925,lying_face,🤥
1f927,sneezing_face,🤧
1f934,prince,🤴
1f935,man_in_tuxedo,🤵
1f936,mrs_claus,🤶
1f926,face_palm,🤦
1f937,shrug,🤷
1f933,selfie,🤳
1f57a,man_dancing,🕺
1f919,call_me,🤙
1f91a,raised_back_of_hand,🤚
1f91b,left_facing_fist,🤛
1f91c,right_facing_fist,🤜
1f91d,handshake,🤝
1f91e,fingers_crossed,🤞
1f930,pregnant_woman,🤰
1f436,dog,🐶
1f431,cat,🐱
1f42d,mouse,🐭
1f439,hamster,🐹
1f430,rabbit,🐰
1f43b,bear,🐻
1f43c,panda_face,🐼
1f428,koala,🐨
1f42f,tiger,🐯
1f981,lion_face,🦁
1f42e,cow,🐮
1f437,pig,🐷
1f43d,pig_nose,🐽
1f438,frog,🐸
1f419,octopus,🐙
1f435,monkey_face,🐵
1f648,see_no_evil,🙈
1f649,hear_no_evil,🙉
1f64a,speak_no_evil,🙊
1f412,monkey,🐒
1f414,chicken,🐔
1f427,penguin,🐧
1f426,bird,🐦
1f424,baby_chick,🐤
1f423,hatching_chick,🐣
1f425,hatched_chick,🐥
1f43a,wolf,🐺
1f417,boar,🐗
1f434,horse,🐴
1f984,unicorn,🦄
1f41d,bee,🐝
1f41b,bug,🐛
1f40c,snail,🐌
1f41e,beetle,🐞
1f41c,ant,🐜
1f577,spider,🕷
1f982,scorpion,🦂
1f980,crab,🦀
1f40d,snake,🐍
1f422,turtle,🐢
1f420,tropical_fish,🐠
1f41f,fish,🐟
1f421,blowfish,🐡
1f42c,dolphin,🐬
1f433,whale,🐳
1f40b,whale2,🐋
1f40a,crocodile,🐊
1f406,leopard,🐆
1f405,tiger2,🐅
1f403,water_buffalo,🐃
1f402,ox,🐂
1f404,cow2,🐄
1f42a,dromedary_camel,🐪
1f42b,camel,🐫
1f418,elephant,🐘
1f410,goat,🐐
1f40f,ram,🐏
1f411,sheep,🐑
1f40e,racehorse,🐎
1f416,pig2,🐖
1f400,rat,🐀
1f401,mouse2,🐁
1f413,rooster,🐓
1f983,turkey,🦃
1f54a,dove,🕊
1f415,dog2,🐕
1f429,poodle,🐩
1f408,cat2,🐈
1f407,rabbit2,🐇
1f43f,chipmunk,🐿
1f43e,feet,🐾
1f409,dragon,🐉
1f432,dragon_face,🐲
1f335,cactus,🌵
1f384,christmas_tree,🎄
1f332,evergreen_tree,🌲
1f333,deciduous_tree,🌳
1f334,palm_tree,🌴
1f331,seedling,🌱
1f33f,herb,🌿
2618,shamrock,☘
1f340,four_leaf_clover,🍀
1f38d,bamboo,🎍
1f38b,tanabata_tree,🎋
1f343,leaves,🍃
1f342,fallen_leaf,🍂
1f341,maple_leaf,🍁
1f33e,ear_of_rice,🌾
1f33a,hibiscus,🌺
1f33b,sunflower,🌻
1f339,rose,🌹
1f337,tulip,🌷
1f33c,blossom,🌼
1f338,cherry_blossom,🌸
1f490,bouquet,💐
1f344,mushroom,🍄
1f330,chestnut,🌰
1f383,jack_o_lantern,🎃
1f41a,shell,🐚
1f578,spider_web,🕸
1f30e,earth_americas,🌎
1f30d,earth_africa,🌍
1f30f,earth_asia,🌏
1f315,full_moon,🌕
1f316,waning_gibbous_moon,🌖
1f317,last_quarter_moon,🌗
1f318,waning_crescent_moon,🌘
1f311,new_moon,🌑
1f312,waxing_crescent_moon,🌒
1f313,first_quarter_moon,🌓
1f314,waxing_gibbous_moon,🌔
1f31a,new_moon_with_face,🌚
1f31d,full_moon_with_face,🌝
1f31b,first_quarter_moon_with_face,🌛
1f31c,last_quarter_moon_with_face,🌜
1f31e,sun_with_face,🌞
1f319,crescent_moon,🌙
2b50,star,⭐
1f31f,star2,🌟
1f4ab,dizzy,💫
2728,sparkles,✨
2604,comet,☄
2600,sunny,☀
1f324,white_sun_small_cloud,🌤
26c5,partly_sunny,⛅
1f325,white_sun_cloud,🌥
1f326,white_sun_rain_cloud,🌦
2601,cloud,☁
1f327,cloud_rain,🌧
26c8,thunder_cloud_rain,⛈
1f329,cloud_lightning,🌩
26a1,zap,⚡
1f525,fire,🔥
1f4a5,boom,💥
2744,snowflake,❄
1f328,cloud_snow,🌨
2603,snowman2,☃
26c4,snowman,⛄
1f32c,wind_blowing_face,🌬
1f4a8,dash,💨
1f32a,cloud_tornado,🌪
1f32b,fog,🌫
2602,umbrella2,☂
2614,umbrella,☔
1f4a7,droplet,💧
1f4a6,sweat_drops,💦
1f30a,ocean,🌊
1f985,eagle,🦅
1f986,duck,🦆
1f987,bat,🦇
1f988,shark,🦈
1f989,owl,🦉
1f98a,fox,🦊
1f98b,butterfly,🦋
1f98c,deer,🦌
1f98d,gorilla,🦍
1f98e,lizard,🦎
1f98f,rhino,🦏
1f940,wilted_rose,🥀
1f990,shrimp,🦐
1f991,squid,🦑
1f34f,green_apple,🍏
1f34e,apple,🍎
1f350,pear,🍐
1f34a,tangerine,🍊
1f34b,lemon,🍋
1f34c,banana,🍌
1f349,watermelon,🍉
1f347,grapes,🍇
1f353,strawberry,🍓
1f348,melon,🍈
1f352,cherries,🍒
1f351,peach,🍑
1f34d,pineapple,🍍
1f345,tomato,🍅
1f346,eggplant,🍆
1f336,hot_pepper,🌶
1f33d,corn,🌽
1f360,sweet_potato,🍠
1f36f,honey_pot,🍯
1f35e,bread,🍞
1f9c0,cheese,🧀
1f357,poultry_leg,🍗
1f356,meat_on_bone,🍖
1f364,fried_shrimp,🍤
1f373,cooking,🍳
1f354,hamburger,🍔
1f35f,fries,🍟
1f32d,hotdog,🌭
1f355,pizza,🍕
1f35d,spaghetti,🍝
1f32e,taco,🌮
1f32f,burrito,🌯
1f35c,ramen,🍜
1f372,stew,🍲
1f365,fish_cake,🍥
1f363,sushi,🍣
1f371,bento,🍱
1f35b,curry,🍛
1f359,rice_ball,🍙
1f35a,rice,🍚
1f358,rice_cracker,🍘
1f362,oden,🍢
1f361,dango,🍡
1f367,shaved_ice,🍧
1f368,ice_cream,🍨
1f366,icecream,🍦
1f370,cake,🍰
1f382,birthday,🎂
1f36e,custard,🍮
1f36c,candy,🍬
1f36d,lollipop,🍭
1f36b,chocolate_bar,🍫
1f37f,popcorn,🍿
1f369,doughnut,🍩
1f36a,cookie,🍪
1f37a,beer,🍺
1f37b,beers,🍻
1f377,wine_glass,🍷
1f378,cocktail,🍸
1f379,tropical_drink,🍹
1f37e,champagne,🍾
1f376,sake,🍶
1f375,tea,🍵
2615,coffee,☕
1f37c,baby_bottle,🍼
1f374,fork_and_knife,🍴
1f37d,fork_knife_plate,🍽
1f950,croissant,🥐
1f951,avocado,🥑
1f952,cucumber,🥒
1f953,bacon,🥓
1f954,potato,🥔
1f955,carrot,🥕
1f956,french_bread,🥖
1f957,salad,🥗
1f958,shallow_pan_of_food,🥘
1f959,stuffed_flatbread,🥙
1f942,champagne_glass,🥂
1f943,tumbler_glass,🥃
1f944,spoon,🥄
1f95a,egg,🥚
1f95b,milk,🥛
1f95c,peanuts,🥜
1f95d,kiwi,🥝
1f95e,pancakes,🥞
26bd,soccer,⚽
1f3c0,basketball,🏀
1f3c8,football,🏈
26be,baseball,⚾
1f3be,tennis,🎾
1f3d0,volleyball,🏐
1f3c9,rugby_football,🏉
1f3b1,8ball,🎱
26f3,golf,⛳
1f3cc,golfer,🏌
1f3d3,ping_pong,🏓
1f3f8,badminton,🏸
1f3d2,hockey,🏒
1f3d1,field_hockey,🏑
1f3cf,cricket,🏏
1f3bf,ski,🎿
26f7,skier,⛷
1f3c2,snowboarder,🏂
26f8,ice_skate,⛸
1f3f9,bow_and_arrow,🏹
1f3a3,fishing_pole_and_fish,🎣
1f6a3,rowboat,🚣
1f3ca,swimmer,🏊
1f3c4,surfer,🏄
1f6c0,bath,🛀
26f9,basketball_player,⛹
1f3cb,lifter,🏋
1f6b4,bicyclist,🚴
1f6b5,mountain_bicyclist,🚵
1f3c7,horse_racing,🏇
1f574,levitate,🕴
1f3c6,trophy,🏆
1f3bd,running_shirt_with_sash,🎽
1f3c5,medal,🏅
1f396,military_medal,🎖
1f397,reminder_ribbon,🎗
1f3f5,rosette,🏵
1f3ab,ticket,🎫
1f39f,tickets,🎟
1f3ad,performing_arts,🎭
1f3a8,art,🎨
1f3aa,circus_tent,🎪
1f3a4,microphone,🎤
1f3a7,headphones,🎧
1f3bc,musical_score,🎼
1f3b9,musical_keyboard,🎹
1f3b7,saxophone,🎷
1f3ba,trumpet,🎺
1f3b8,guitar,🎸
1f3bb,violin,🎻
1f3ac,clapper,🎬
1f3ae,video_game,🎮
1f47e,space_invader,👾
1f3af,dart,🎯
1f3b2,game_die,🎲
1f3b0,slot_machine,🎰
1f3b3,bowling,🎳
1f938,cartwheel,🤸
1f939,juggling,🤹
1f93c,wrestlers,🤼
1f94a,boxing_glove,🥊
1f94b,martial_arts_uniform,🥋
1f93d,water_polo,🤽
1f93e,handball,🤾
1f945,goal,🥅
1f93a,fencer,🤺
1f947,first_place,🥇
1f948,second_place,🥈
1f949,third_place,🥉
1f941,drum,🥁
1f697,red_car,🚗
1f695,taxi,🚕
1f699,blue_car,🚙
1f68c,bus,🚌
1f68e,trolleybus,🚎
1f3ce,race_car,🏎
1f693,police_car,🚓
1f691,ambulance,🚑
1f692,fire_engine,🚒
1f690,minibus,🚐
1f69a,truck,🚚
1f69b,articulated_lorry,🚛
1f69c,tractor,🚜
1f3cd,motorcycle,🏍
1f6b2,bike,🚲
1f6a8,rotating_light,🚨
1f694,oncoming_police_car,🚔
1f68d,oncoming_bus,🚍
1f698,oncoming_automobile,🚘
1f696,oncoming_taxi,🚖
1f6a1,aerial_tramway,🚡
1f6a0,mountain_cableway,🚠
1f69f,suspension_railway,🚟
1f683,railway_car,🚃
1f68b,train,🚋
1f69d,monorail,🚝
1f684,bullettrain_side,🚄
1f685,bullettrain_front,🚅
1f688,light_rail,🚈
1f69e,mountain_railway,🚞
1f682,steam_locomotive,🚂
1f686,train2,🚆
1f687,metro,🚇
1f68a,tram,🚊
1f689,station,🚉
1f681,helicopter,🚁
1f6e9,airplane_small,🛩
2708,airplane,✈
1f6eb,airplane_departure,🛫
1f6ec,airplane_arriving,🛬
26f5,sailboat,⛵
1f6e5,motorboat,🛥
1f6a4,speedboat,🚤
26f4,ferry,⛴
1f6f3,cruise_ship,🛳
1f680,rocket,🚀
1f6f0,satellite_orbital,🛰
1f4ba,seat,💺
2693,anchor,⚓
1f6a7,construction,🚧
26fd,fuelpump,⛽
1f68f,busstop,🚏
1f6a6,vertical_traffic_light,🚦
1f6a5,traffic_light,🚥
1f3c1,checkered_flag,🏁
1f6a2,ship,🚢
1f3a1,ferris_wheel,🎡
1f3a2,roller_coaster,🎢
1f3a0,carousel_horse,🎠
1f3d7,construction_site,🏗
1f301,foggy,🌁
1f5fc,tokyo_tower,🗼
1f3ed,factory,🏭
26f2,fountain,⛲
1f391,rice_scene,🎑
26f0,mountain,⛰
1f3d4,mountain_snow,🏔
1f5fb,mount_fuji,🗻
1f30b,volcano,🌋
1f5fe,japan,🗾
1f3d5,camping,🏕
26fa,tent,⛺
1f3de,park,🏞
1f6e3,motorway,🛣
1f6e4,railway_track,🛤
1f305,sunrise,🌅
1f304,sunrise_over_mountains,🌄
1f3dc,desert,🏜
1f3d6,beach,🏖
1f3dd,island,🏝
1f307,city_sunset,🌇
1f306,city_dusk,🌆
1f3d9,cityscape,🏙
1f303,night_with_stars,🌃
1f309,bridge_at_night,🌉
1f30c,milky_way,🌌
1f320,stars,🌠
1f387,sparkler,🎇
1f386,fireworks,🎆
1f308,rainbow,🌈
1f3d8,homes,🏘
1f3f0,european_castle,🏰
1f3ef,japanese_castle,🏯
1f3df,stadium,🏟
1f5fd,statue_of_liberty,🗽
1f3e0,house,🏠
1f3e1,house_with_garden,🏡
1f3da,house_abandoned,🏚
1f3e2,office,🏢
1f3ec,department_store,🏬
1f3e3,post_office,🏣
1f3e4,european_post_office,🏤
1f3e5,hospital,🏥
1f3e6,bank,🏦
1f3e8,hotel,🏨
1f3ea,convenience_store,🏪
1f3eb,school,🏫
1f3e9,love_hotel,🏩
1f492,wedding,💒
1f3db,classical_building,🏛
26ea,church,⛪
1f54c,mosque,🕌
1f54d,synagogue,🕍
1f54b,kaaba,🕋
26e9,shinto_shrine,⛩
1f6d2,shopping_cart,🛒
1f6f4,scooter,🛴
1f6f5,motor_scooter,🛵
1f6f6,canoe,🛶
231a,watch,⌚
1f4f1,iphone,📱
1f4f2,calling,📲
1f4bb,computer,💻
2328,keyboard,⌨
1f5a5,desktop,🖥
1f5a8,printer,🖨
1f5b1,mouse_three_button,🖱
1f5b2,trackball,🖲
1f579,joystick,🕹
1f5dc,compression,🗜
1f4bd,minidisc,💽
1f4be,floppy_disk,💾
1f4bf,cd,💿
1f4c0,dvd,📀
1f4fc,vhs,📼
1f4f7,camera,📷
1f4f8,camera_with_flash,📸
1f4f9,video_camera,📹
1f3a5,movie_camera,🎥
1f4fd,projector,📽
1f39e,film_frames,🎞
1f4de,telephone_receiver,📞
260e,telephone,☎
1f4df,pager,📟
1f4e0,fax,📠
1f4fa,tv,📺
1f4fb,radio,📻
1f399,microphone2,🎙
1f39a,level_slider,🎚
1f39b,control_knobs,🎛
23f1,stopwatch,⏱
23f2,timer,⏲
23f0,alarm_clock,⏰
1f570,clock,🕰
23f3,hourglass_flowing_sand,⏳
231b,hourglass,⌛
1f4e1,satellite,📡
1f50b,battery,🔋
1f50c,electric_plug,🔌
1f4a1,bulb,💡
1f526,flashlight,🔦
1f56f,candle,🕯
1f5d1,wastebasket,🗑
1f6e2,oil,🛢
1f4b8,money_with_wings,💸
1f4b5,dollar,💵
1f4b4,yen,💴
1f4b6,euro,💶
1f4b7,pound,💷
1f4b0,moneybag,💰
1f4b3,credit_card,💳
1f48e,gem,💎
2696,scales,⚖
1f527,wrench,🔧
1f528,hammer,🔨
2692,hammer_pick,⚒
1f6e0,tools,🛠
26cf,pick,⛏
1f529,nut_and_bolt,🔩
2699,gear,⚙
26d3,chains,⛓
1f52b,gun,🔫
1f4a3,bomb,💣
1f52a,knife,🔪
1f5e1,dagger,🗡
2694,crossed_swords,⚔
1f6e1,shield,🛡
1f6ac,smoking,🚬
2620,skull_crossbones,☠
26b0,coffin,⚰
26b1,urn,⚱
1f3fa,amphora,🏺
1f52e,crystal_ball,🔮
1f4ff,prayer_beads,📿
1f488,barber,💈
2697,alembic,⚗
1f52d,telescope,🔭
1f52c,microscope,🔬
1f573,hole,🕳
1f48a,pill,💊
1f489,syringe,💉
1f321,thermometer,🌡
1f3f7,label,🏷
1f516,bookmark,🔖
1f6bd,toilet,🚽
1f6bf,shower,🚿
1f6c1,bathtub,🛁
1f511,key,🔑
1f5dd,key2,🗝
1f6cb,couch,🛋
1f6cc,sleeping_accommodation,🛌
1f6cf,bed,🛏
1f6aa,door,🚪
1f6ce,bellhop,🛎
1f5bc,frame_photo,🖼
1f5fa,map,🗺
26f1,beach_umbrella,⛱
1f5ff,moyai,🗿
1f6cd,shopping_bags,🛍
1f388,balloon,🎈
1f38f,flags,🎏
1f380,ribbon,🎀
1f381,gift,🎁
1f38a,confetti_ball,🎊
1f389,tada,🎉
1f38e,dolls,🎎
1f390,wind_chime,🎐
1f38c,crossed_flags,🎌
